transaction_id,date,ministry,vendor_id,vendor_name,category,amount,payment_terms_days,procurement_method,contract_description,_planted_pattern
T-00001,2025-06-08,Ministry of Public Works,V-091,Keystone Engineering,Construction,64500,60,Open tender,facade works — framework lot B,
T-00002,2025-07-28,Ministry of Public Works,V-155,Yara Works,Construction,22700,30,Limited tender,office renovation — annual contract,
T-00003,2025-04-15,Ministry of Public Works,V-087,Bluefin Systems,IT services,50100,45,Limited tender,ERP rollout — framework lot B,
T-00004,2024-03-08,Ministry of Health,V-007,Glacier Solutions,IT services,13500,30,Limited tender,network upgrade — Q3 — east wing,
T-00005,2024-04-30,Ministry of Public Works,V-119,Harbor Logistics,Transport,29800,30,Limited tender,vehicle leasing — phase 2,
T-00006,2025-05-10,Ministry of Public Works,V-195,Evergreen Movers,Transport,39300,90,Limited tender,vehicle leasing — Q2 — south wing,
T-00007,2025-07-22,Ministry of Transport,V-121,Granite Transport,Transport,22600,90,Limited tender,fuel supply — Q2 — south wing,
T-00008,2025-06-27,Ministry of Education,V-200,Ember Consulting,IT services,37400,60,Open tender,cloud migration — Q3 — east wing,
T-00009,2025-05-14,Ministry of Education,V-062,Forge Logistics,Transport,10700,30,Open tender,logistics services — phase 1,
T-00010,2024-02-25,Ministry of Digital Affairs,V-197,Apex Consulting,Consulting,10200,90,Open tender,strategy advisory — Q3 — east wing,
T-00011,2024-12-09,Ministry of Digital Affairs,V-080,Apex Advisory,Consulting,16700,30,Limited tender,compliance audit — annual contract,
T-00012,2025-02-16,Ministry of Education,V-184,Drift Solutions,IT services,13900,60,Limited tender,cloud migration — phase 1,
T-00013,2024-11-14,Ministry of Health,V-176,Northbound Consulting,Consulting,26400,90,Limited tender,risk assessment — framework lot B,
T-00014,2025-04-10,Ministry of Health,V-110,Zenith Stationery,Office supplies,7700,30,Simplified,printer cartridges — framework lot A,
T-00015,2025-02-10,Ministry of Public Works,V-028,Keystone Care,Medical equipment,38600,60,Limited tender,diagnostic kits — annual contract,
T-00016,2024-12-01,Ministry of Justice,V-046,Yara Engineering,Construction,38300,30,Simplified,roof refurbishment — framework lot A,
T-00017,2025-02-17,Ministry of Education,V-112,Evergreen Supplies,Office supplies,13100,30,Limited tender,paper and toner order — phase 1,
T-00018,2025-02-08,Ministry of Public Works,V-116,Westwind Tech,IT services,50800,30,Open tender,endpoint refresh — Q1 — north wing,
T-00019,2024-10-25,Ministry of Transport,V-127,Citadel Supplies,Office supplies,12100,30,Limited tender,stationery resupply — phase 1,
T-00020,2025-09-17,Ministry of Education,V-153,Westwind Partners,Consulting,9500,14,Simplified,strategy advisory — Q4 — west wing,
T-00021,2024-07-24,Ministry of Public Works,V-185,Mosaic MedTech,Medical equipment,67600,30,Open tender,surgical instruments — framework lot A,
T-00022,2025-12-29,Ministry of Transport,V-005,Bluefin Medical,Medical equipment,41900,30,Limited tender,imaging consumables — phase 2,
T-00023,2025-04-30,Ministry of Justice,V-122,Helios Supplies,Office supplies,9100,90,Simplified,stationery resupply — phase 2,
T-00024,2024-03-06,Ministry of Digital Affairs,V-180,Acme Logistics,Transport,11000,30,Limited tender,fuel supply — phase 2,
T-00025,2025-10-20,Ministry of Education,V-031,Junction Transport,Transport,10100,30,Simplified,fuel supply — framework lot A,
T-00026,2025-01-01,Ministry of Transport,V-071,BetaTech Distributors,Office supplies,9100,30,Open tender,paper and toner order — Q4 — west wing,
T-00027,2024-06-23,Ministry of Justice,V-076,Glacier Builders,Construction,44900,14,Limited tender,site preparation — phase 1,
T-00028,2024-07-09,Ministry of Public Works,V-012,Bluefin Freight,Office supplies,8800,30,Simplified,paper and toner order — Q1 — north wing,
T-00029,2025-06-08,Ministry of Health,V-147,Rivera Supplies,Office supplies,5700,30,Simplified,stationery resupply — framework lot A,
T-00030,2024-04-03,Ministry of Digital Affairs,V-030,Yara Partners,Consulting,14200,14,Limited tender,strategy advisory — Q3 — east wing,
T-00031,2024-11-29,Ministry of Education,V-039,Junction Cargo,Transport,20900,14,Simplified,fleet maintenance — framework lot B,
T-00032,2024-11-11,Ministry of Justice,V-196,Vertex Group,Consulting,11900,30,Limited tender,compliance audit — framework lot A,
T-00033,2025-04-04,Ministry of Justice,V-114,Evergreen Works,Construction,39500,30,Limited tender,facade works — Q1 — north wing,
T-00034,2024-03-02,Ministry of Education,V-157,Bluefin Logistics,Construction,59800,30,Limited tender,structural repairs — Q2 — south wing,
T-00035,2025-04-27,Ministry of Public Works,V-041,Zenith MedTech,Medical equipment,77000,30,Open tender,surgical instruments — framework lot A,
